"Hazard ref","Threat ref","Element","Element type","Safety function","STRIDE","STRIDE category","Security threat (cause)","Hazardous situation","Harm","Severity of harm","Software safety class","Security severity","CVSS v4.0 vector","CVSS v4.0 score","Candidate risk controls","Controls already in place","Safety file reference","Threat model","Safety file"
"SEC-HAZ-028","T-128","USB host ports (udev auto-mount)","Process","Generates, carries or displays alarms","T","Tampering","Alarm conditions or thresholds at USB host ports (udev auto-mount) can be tampered with","A USB device that types (BadUSB HID) is the bedside operator: it can silence alarms, edit thresholds in cgm.conf or kill the kiosk, and because the mount helper runs as root, removable media is also a path to persistent control of the alarm path. Nothing at the bedside tells a charging cable from an attack.","A genuine deteriorating-patient alarm never reaches anyone, or false alarms are injected — driving alarm fatigue, desensitisation and unnecessary intervention.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Protect alarm limits and escalation configuration with integrity checks; treat a change to them as a clinical event, not a setting. | Sign alarm messages so a receiver can prove the alarm came from the device that raised it. | Restrict who can change alarm limits, and record every change with the identity that made it. | Annunciate locally at the device as well as remotely, so tampering with one path does not silence both.","The enclosure is closed with two screws. Nothing else: no port blockers, no USB device authorisation (usbguard) or HID allow-list, no encryption on the SD card to stop offline imaging, and the mount helper runs from a root udev rule.","SEC-HAZ-010","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-029","T-129","USB host ports (udev auto-mount)","Process","Generates, carries or displays alarms","D","Denial of service","Alarm delivery through USB host ports (udev auto-mount) can be blocked, delayed or flooded","A USB device that types (BadUSB HID) is the bedside operator: it can silence alarms, edit thresholds in cgm.conf or kill the kiosk, and because the mount helper runs as root, removable media is also a path to persistent control of the alarm path. Nothing at the bedside tells a charging cable from an attack.","Deterioration goes unnoticed because nobody was alerted in time, or the alert that mattered was lost among false ones.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Set and verify a maximum alarm annunciation delay end to end; monitor it in service. | Give alarm traffic its own prioritised, rate-limited path that ordinary traffic cannot starve. | Fail loud: if the alarm path cannot be confirmed available, raise a local technical alarm. | Keep an independent local annunciation that does not depend on the network at all.","The enclosure is closed with two screws. Nothing else: no port blockers, no USB device authorisation (usbguard) or HID allow-list, no encryption on the SD card to stop offline imaging, and the mount helper runs from a root udev rule.","SEC-HAZ-010","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-030","T-130","USB host ports (udev auto-mount)","Process","Generates, carries or displays alarms","S","Spoofing","Alarms carried by USB host ports (udev auto-mount) cannot be shown to be genuine","A USB device that types (BadUSB HID) is the bedside operator: it can silence alarms, edit thresholds in cgm.conf or kill the kiosk, and because the mount helper runs as root, removable media is also a path to persistent control of the alarm path. Nothing at the bedside tells a charging cable from an attack.","False alarms cause unnecessary and potentially harmful intervention and erode trust in the alarm system; a forged ""alarm cleared"" hides a real one.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Authenticate the alarm source; prefer per-device identity (certificates) over a shared credential. | Include device identity, patient context and a timestamp inside the signed alarm payload. | Reconcile remote alarm state against the device periodically instead of trusting the last message received.","The enclosure is closed with two screws. Nothing else: no port blockers, no USB device authorisation (usbguard) or HID allow-list, no encryption on the SD card to stop offline imaging, and the mount helper runs from a root udev rule.","SEC-HAZ-010","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-031","T-131","USB host ports (udev auto-mount)","Process","Generates, carries or displays alarms","R","Repudiation","Alarm history at USB host ports (udev auto-mount) is not reliable evidence","A USB device that types (BadUSB HID) is the bedside operator: it can silence alarms, edit thresholds in cgm.conf or kill the kiosk, and because the mount helper runs as root, removable media is also a path to persistent control of the alarm path. Nothing at the bedside tells a charging cable from an attack.","After an adverse event it cannot be established whether the alarm system worked, so a systemic alarm failure stays invisible and uncorrected.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Log every alarm raise, annunciate, acknowledge, silence and clear event with identity and timestamp. | Store alarm history where the clinical or service user cannot edit it, and synchronise clocks. | Review silenced and repeatedly-acknowledged alarms as a safety signal.","The enclosure is closed with two screws. Nothing else: no port blockers, no USB device authorisation (usbguard) or HID allow-list, no encryption on the SD card to stop offline imaging, and the mount helper runs from a root udev rule.","SEC-HAZ-010","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-032","T-132","USB host ports (udev auto-mount)","Process","Needed for timely care delivery","D","Denial of service","Loss of USB host ports (udev auto-mount) delays or prevents care","A USB device that types (BadUSB HID) is the bedside operator: it can silence alarms, edit thresholds in cgm.conf or kill the kiosk, and because the mount helper runs as root, removable media is also a path to persistent control of the alarm path. Nothing at the bedside tells a charging cable from an attack.","Treatment is delayed or diverted; in a time-critical pathway that delay is itself the harm.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Agree the maximum tolerable downtime with the clinical service and design to it. | Provide a documented, rehearsed manual fallback that does not depend on the compromised system. | Segment the device network so an outage elsewhere in the hospital cannot take clinical care down with it.","The enclosure is closed with two screws. Nothing else: no port blockers, no USB device authorisation (usbguard) or HID allow-list, no encryption on the SD card to stop offline imaging, and the mount helper runs from a root udev rule.","SEC-HAZ-010","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-033","T-142","Bluetooth stack (BlueZ / bluetoothd, root)","Process","Produces clinical data used for decisions","T","Tampering","Clinical data at Bluetooth stack (BlueZ / bluetoothd, root) can be altered or substituted","A keyboard paired from the corridor is an unauthenticated console at the bedside, a rogue GATT client can read the patient-linked advertisement, and flooding the controller drops the sensor link — so glucose stops updating and the hypo alarm never annunciates.","A clinician diagnoses or treats on wrong data: missed condition, unnecessary treatment, or the right treatment given to the wrong patient.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Bind clinical data to patient identity cryptographically and verify it at the point of display. | Sign results at the source; verify signatures before a result is used clinically. | Detect and flag stale data rather than displaying a last-known value as current.","Nothing hardens it. bluetoothd runs as root over D-Bus, the controller is left discoverable, pairing is Just Works with no confirmation on the panel, and no allow-list limits which HID or GATT peer may connect — so hcitool, bluetoothctl and gatttool from any laptop in range all reach it.","SEC-HAZ-011","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-034","T-143","Bluetooth stack (BlueZ / bluetoothd, root)","Process","Produces clinical data used for decisions","D","Denial of service","Clinical data from Bluetooth stack (BlueZ / bluetoothd, root) may be unavailable when a decision has to be made","A keyboard paired from the corridor is an unauthenticated console at the bedside, a rogue GATT client can read the patient-linked advertisement, and flooding the controller drops the sensor link — so glucose stops updating and the hypo alarm never annunciates.","Treatment is delayed, or a decision is made without information that was available yesterday.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Define the downtime procedure and make sure clinicians have practised it. | Keep an independent, offline-capable copy of data needed for urgent care. | Cache the most recent values locally with an explicit staleness indicator.","Nothing hardens it. bluetoothd runs as root over D-Bus, the controller is left discoverable, pairing is Just Works with no confirmation on the panel, and no allow-list limits which HID or GATT peer may connect — so hcitool, bluetoothctl and gatttool from any laptop in range all reach it.","SEC-HAZ-011","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-035","T-144","Bluetooth stack (BlueZ / bluetoothd, root)","Process","Generates, carries or displays alarms","T","Tampering","Alarm conditions or thresholds at Bluetooth stack (BlueZ / bluetoothd, root) can be tampered with","A keyboard paired from the corridor is an unauthenticated console at the bedside, a rogue GATT client can read the patient-linked advertisement, and flooding the controller drops the sensor link — so glucose stops updating and the hypo alarm never annunciates.","A genuine deteriorating-patient alarm never reaches anyone, or false alarms are injected — driving alarm fatigue, desensitisation and unnecessary intervention.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Protect alarm limits and escalation configuration with integrity checks; treat a change to them as a clinical event, not a setting. | Sign alarm messages so a receiver can prove the alarm came from the device that raised it. | Restrict who can change alarm limits, and record every change with the identity that made it. | Annunciate locally at the device as well as remotely, so tampering with one path does not silence both.","Nothing hardens it. bluetoothd runs as root over D-Bus, the controller is left discoverable, pairing is Just Works with no confirmation on the panel, and no allow-list limits which HID or GATT peer may connect — so hcitool, bluetoothctl and gatttool from any laptop in range all reach it.","SEC-HAZ-011","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-036","T-145","Bluetooth stack (BlueZ / bluetoothd, root)","Process","Generates, carries or displays alarms","D","Denial of service","Alarm delivery through Bluetooth stack (BlueZ / bluetoothd, root) can be blocked, delayed or flooded","A keyboard paired from the corridor is an unauthenticated console at the bedside, a rogue GATT client can read the patient-linked advertisement, and flooding the controller drops the sensor link — so glucose stops updating and the hypo alarm never annunciates.","Deterioration goes unnoticed because nobody was alerted in time, or the alert that mattered was lost among false ones.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Set and verify a maximum alarm annunciation delay end to end; monitor it in service. | Give alarm traffic its own prioritised, rate-limited path that ordinary traffic cannot starve. | Fail loud: if the alarm path cannot be confirmed available, raise a local technical alarm. | Keep an independent local annunciation that does not depend on the network at all.","Nothing hardens it. bluetoothd runs as root over D-Bus, the controller is left discoverable, pairing is Just Works with no confirmation on the panel, and no allow-list limits which HID or GATT peer may connect — so hcitool, bluetoothctl and gatttool from any laptop in range all reach it.","SEC-HAZ-011","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-037","T-146","Bluetooth stack (BlueZ / bluetoothd, root)","Process","Generates, carries or displays alarms","S","Spoofing","Alarms carried by Bluetooth stack (BlueZ / bluetoothd, root) cannot be shown to be genuine","A keyboard paired from the corridor is an unauthenticated console at the bedside, a rogue GATT client can read the patient-linked advertisement, and flooding the controller drops the sensor link — so glucose stops updating and the hypo alarm never annunciates.","False alarms cause unnecessary and potentially harmful intervention and erode trust in the alarm system; a forged ""alarm cleared"" hides a real one.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Authenticate the alarm source; prefer per-device identity (certificates) over a shared credential. | Include device identity, patient context and a timestamp inside the signed alarm payload. | Reconcile remote alarm state against the device periodically instead of trusting the last message received.","Nothing hardens it. bluetoothd runs as root over D-Bus, the controller is left discoverable, pairing is Just Works with no confirmation on the panel, and no allow-list limits which HID or GATT peer may connect — so hcitool, bluetoothctl and gatttool from any laptop in range all reach it.","SEC-HAZ-011","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-038","T-147","Bluetooth stack (BlueZ / bluetoothd, root)","Process","Generates, carries or displays alarms","R","Repudiation","Alarm history at Bluetooth stack (BlueZ / bluetoothd, root) is not reliable evidence","A keyboard paired from the corridor is an unauthenticated console at the bedside, a rogue GATT client can read the patient-linked advertisement, and flooding the controller drops the sensor link — so glucose stops updating and the hypo alarm never annunciates.","After an adverse event it cannot be established whether the alarm system worked, so a systemic alarm failure stays invisible and uncorrected.","Critical — permanent impairment or life-threatening injury","Class C — death or serious injury possible","CRITICAL","","","Log every alarm raise, annunciate, acknowledge, silence and clear event with identity and timestamp. | Store alarm history where the clinical or service user cannot edit it, and synchronise clocks. | Review silenced and repeatedly-acknowledged alarms as a safety signal.","Nothing hardens it. bluetoothd runs as root over D-Bus, the controller is left discoverable, pairing is Just Works with no confirmation on the panel, and no allow-list limits which HID or GATT peer may connect — so hcitool, bluetoothctl and gatttool from any laptop in range all reach it.","SEC-HAZ-011","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-039","T-154","Touchscreen HMI (DSI panel + libinput)","Process","Generates, carries or displays alarms","T","Tampering","Alarm conditions or thresholds at Touchscreen HMI (DSI panel + libinput) can be tampered with","This panel is where a hypo alarm is seen at the bedside. Left on another screen, frozen, dimmed, unlocked by PIN guessing or driven by an injected input device, the alarm is annunciated to nobody and the low is missed. It also shows the patient's name and readings to whoever is standing in the bay.","A genuine deteriorating-patient alarm never reaches anyone, or false alarms are injected — driving alarm fatigue, desensitisation and unnecessary intervention.","Serious — injury needing professional intervention","Class B — non-serious injury possible","CRITICAL","","","Protect alarm limits and escalation configuration with integrity checks; treat a change to them as a clinical event, not a setting. | Sign alarm messages so a receiver can prove the alarm came from the device that raised it. | Restrict who can change alarm limits, and record every change with the identity that made it. | Annunciate locally at the device as well as remotely, so tampering with one path does not silence both.","None worth the name. The panel has no screen lock and no inactivity timeout, so any touch goes straight into the kiosk; long-press and multi-touch still reach the Chromium context menu and the on-screen keyboard, which makes the panel a general purpose input device rather than a fixed display.","SEC-HAZ-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-040","T-155","Touchscreen HMI (DSI panel + libinput)","Process","Generates, carries or displays alarms","D","Denial of service","Alarm delivery through Touchscreen HMI (DSI panel + libinput) can be blocked, delayed or flooded","This panel is where a hypo alarm is seen at the bedside. Left on another screen, frozen, dimmed, unlocked by PIN guessing or driven by an injected input device, the alarm is annunciated to nobody and the low is missed. It also shows the patient's name and readings to whoever is standing in the bay.","Deterioration goes unnoticed because nobody was alerted in time, or the alert that mattered was lost among false ones.","Serious — injury needing professional intervention","Class B — non-serious injury possible","CRITICAL","","","Set and verify a maximum alarm annunciation delay end to end; monitor it in service. | Give alarm traffic its own prioritised, rate-limited path that ordinary traffic cannot starve. | Fail loud: if the alarm path cannot be confirmed available, raise a local technical alarm. | Keep an independent local annunciation that does not depend on the network at all.","None worth the name. The panel has no screen lock and no inactivity timeout, so any touch goes straight into the kiosk; long-press and multi-touch still reach the Chromium context menu and the on-screen keyboard, which makes the panel a general purpose input device rather than a fixed display.","SEC-HAZ-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-041","T-156","Touchscreen HMI (DSI panel + libinput)","Process","Generates, carries or displays alarms","S","Spoofing","Alarms carried by Touchscreen HMI (DSI panel + libinput) cannot be shown to be genuine","This panel is where a hypo alarm is seen at the bedside. Left on another screen, frozen, dimmed, unlocked by PIN guessing or driven by an injected input device, the alarm is annunciated to nobody and the low is missed. It also shows the patient's name and readings to whoever is standing in the bay.","False alarms cause unnecessary and potentially harmful intervention and erode trust in the alarm system; a forged ""alarm cleared"" hides a real one.","Serious — injury needing professional intervention","Class B — non-serious injury possible","CRITICAL","","","Authenticate the alarm source; prefer per-device identity (certificates) over a shared credential. | Include device identity, patient context and a timestamp inside the signed alarm payload. | Reconcile remote alarm state against the device periodically instead of trusting the last message received.","None worth the name. The panel has no screen lock and no inactivity timeout, so any touch goes straight into the kiosk; long-press and multi-touch still reach the Chromium context menu and the on-screen keyboard, which makes the panel a general purpose input device rather than a fixed display.","SEC-HAZ-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-042","T-157","Touchscreen HMI (DSI panel + libinput)","Process","Generates, carries or displays alarms","R","Repudiation","Alarm history at Touchscreen HMI (DSI panel + libinput) is not reliable evidence","This panel is where a hypo alarm is seen at the bedside. Left on another screen, frozen, dimmed, unlocked by PIN guessing or driven by an injected input device, the alarm is annunciated to nobody and the low is missed. It also shows the patient's name and readings to whoever is standing in the bay.","After an adverse event it cannot be established whether the alarm system worked, so a systemic alarm failure stays invisible and uncorrected.","Serious — injury needing professional intervention","Class B — non-serious injury possible","HIGH","","","Log every alarm raise, annunciate, acknowledge, silence and clear event with identity and timestamp. | Store alarm history where the clinical or service user cannot edit it, and synchronise clocks. | Review silenced and repeatedly-acknowledged alarms as a safety signal.","None worth the name. The panel has no screen lock and no inactivity timeout, so any touch goes straight into the kiosk; long-press and multi-touch still reach the Chromium context menu and the on-screen keyboard, which makes the panel a general purpose input device rather than a fixed display.","SEC-HAZ-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-043","T-158","Touchscreen HMI (DSI panel + libinput)","Process","Produces clinical data used for decisions","T","Tampering","Clinical data at Touchscreen HMI (DSI panel + libinput) can be altered or substituted","This panel is where a hypo alarm is seen at the bedside. Left on another screen, frozen, dimmed, unlocked by PIN guessing or driven by an injected input device, the alarm is annunciated to nobody and the low is missed. It also shows the patient's name and readings to whoever is standing in the bay.","A clinician diagnoses or treats on wrong data: missed condition, unnecessary treatment, or the right treatment given to the wrong patient.","Serious — injury needing professional intervention","Class B — non-serious injury possible","CRITICAL","","","Bind clinical data to patient identity cryptographically and verify it at the point of display. | Sign results at the source; verify signatures before a result is used clinically. | Detect and flag stale data rather than displaying a last-known value as current.","None worth the name. The panel has no screen lock and no inactivity timeout, so any touch goes straight into the kiosk; long-press and multi-touch still reach the Chromium context menu and the on-screen keyboard, which makes the panel a general purpose input device rather than a fixed display.","SEC-HAZ-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-044","T-159","Touchscreen HMI (DSI panel + libinput)","Process","Produces clinical data used for decisions","D","Denial of service","Clinical data from Touchscreen HMI (DSI panel + libinput) may be unavailable when a decision has to be made","This panel is where a hypo alarm is seen at the bedside. Left on another screen, frozen, dimmed, unlocked by PIN guessing or driven by an injected input device, the alarm is annunciated to nobody and the low is missed. It also shows the patient's name and readings to whoever is standing in the bay.","Treatment is delayed, or a decision is made without information that was available yesterday.","Serious — injury needing professional intervention","Class B — non-serious injury possible","CRITICAL","","","Define the downtime procedure and make sure clinicians have practised it. | Keep an independent, offline-capable copy of data needed for urgent care. | Cache the most recent values locally with an explicit staleness indicator.","None worth the name. The panel has no screen lock and no inactivity timeout, so any touch goes straight into the kiosk; long-press and multi-touch still reach the Chromium context menu and the on-screen keyboard, which makes the panel a general purpose input device rather than a fixed display.","SEC-HAZ-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-045","T-160","Touchscreen HMI (DSI panel + libinput)","Process","Needed for timely care delivery","D","Denial of service","Loss of Touchscreen HMI (DSI panel + libinput) delays or prevents care","This panel is where a hypo alarm is seen at the bedside. Left on another screen, frozen, dimmed, unlocked by PIN guessing or driven by an injected input device, the alarm is annunciated to nobody and the low is missed. It also shows the patient's name and readings to whoever is standing in the bay.","Treatment is delayed or diverted; in a time-critical pathway that delay is itself the harm.","Serious — injury needing professional intervention","Class B — non-serious injury possible","HIGH","","","Agree the maximum tolerable downtime with the clinical service and design to it. | Provide a documented, rehearsed manual fallback that does not depend on the compromised system. | Segment the device network so an outage elsewhere in the hospital cannot take clinical care down with it.","None worth the name. The panel has no screen lock and no inactivity timeout, so any touch goes straight into the kiosk; long-press and multi-touch still reach the Chromium context menu and the on-screen keyboard, which makes the panel a general purpose input device rather than a fixed display.","SEC-HAZ-012","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-046","T-173","Console session","Data flow","Produces clinical data used for decisions","T","Tampering","Clinical data at Console session can be altered or substituted","Measurements, images, results or the patient identity attached to them can be modified through Console session, or the data of one patient can be presented as another's, without the clinician being able to detect it.","A clinician diagnoses or treats on wrong data: missed condition, unnecessary treatment, or the right treatment given to the wrong patient.","Serious — injury needing professional intervention","not set","CRITICAL","","","Bind clinical data to patient identity cryptographically and verify it at the point of display. | Sign results at the source; verify signatures before a result is used clinically. | Detect and flag stale data rather than displaying a last-known value as current.","","SEC-HAZ-002","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-047","T-174","Console session","Data flow","Produces clinical data used for decisions","D","Denial of service","Clinical data from Console session may be unavailable when a decision has to be made","An attack, an outage or a ransomware event makes Console session unavailable at the moment a clinician needs the data it holds or carries.","Treatment is delayed, or a decision is made without information that was available yesterday.","Serious — injury needing professional intervention","not set","CRITICAL","","","Define the downtime procedure and make sure clinicians have practised it. | Keep an independent, offline-capable copy of data needed for urgent care. | Cache the most recent values locally with an explicit staleness indicator.","","SEC-HAZ-002","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-048","T-181","Bedside interaction","Data flow","Generates, carries or displays alarms","T","Tampering","Alarm conditions or thresholds at Bedside interaction can be tampered with","Alarm limits, priorities, escalation rules or the alarm messages themselves can be modified through Bedside interaction. An alarm can be silenced, downgraded, re-routed or fabricated, and the clinical team sees the altered state as the truth.","A genuine deteriorating-patient alarm never reaches anyone, or false alarms are injected — driving alarm fatigue, desensitisation and unnecessary intervention.","Serious — injury needing professional intervention","not set","CRITICAL","","","Protect alarm limits and escalation configuration with integrity checks; treat a change to them as a clinical event, not a setting. | Sign alarm messages so a receiver can prove the alarm came from the device that raised it. | Restrict who can change alarm limits, and record every change with the identity that made it. | Annunciate locally at the device as well as remotely, so tampering with one path does not silence both.","","SEC-HAZ-008","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-049","T-182","Bedside interaction","Data flow","Generates, carries or displays alarms","D","Denial of service","Alarm delivery through Bedside interaction can be blocked, delayed or flooded","An attacker floods, exhausts or simply cuts Bedside interaction, so alarms are queued, dropped or delayed past the point where they are clinically useful. The inverse is equally dangerous: a flood of injected alarms buries the real one.","Deterioration goes unnoticed because nobody was alerted in time, or the alert that mattered was lost among false ones.","Serious — injury needing professional intervention","not set","CRITICAL","","","Set and verify a maximum alarm annunciation delay end to end; monitor it in service. | Give alarm traffic its own prioritised, rate-limited path that ordinary traffic cannot starve. | Fail loud: if the alarm path cannot be confirmed available, raise a local technical alarm. | Keep an independent local annunciation that does not depend on the network at all.","","SEC-HAZ-008","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-050","T-183","Bedside interaction","Data flow","Produces clinical data used for decisions","T","Tampering","Clinical data at Bedside interaction can be altered or substituted","Measurements, images, results or the patient identity attached to them can be modified through Bedside interaction, or the data of one patient can be presented as another's, without the clinician being able to detect it.","A clinician diagnoses or treats on wrong data: missed condition, unnecessary treatment, or the right treatment given to the wrong patient.","Serious — injury needing professional intervention","not set","CRITICAL","","","Bind clinical data to patient identity cryptographically and verify it at the point of display. | Sign results at the source; verify signatures before a result is used clinically. | Detect and flag stale data rather than displaying a last-known value as current.","","SEC-HAZ-008","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-051","T-184","Bedside interaction","Data flow","Produces clinical data used for decisions","D","Denial of service","Clinical data from Bedside interaction may be unavailable when a decision has to be made","An attack, an outage or a ransomware event makes Bedside interaction unavailable at the moment a clinician needs the data it holds or carries.","Treatment is delayed, or a decision is made without information that was available yesterday.","Serious — injury needing professional intervention","not set","CRITICAL","","","Define the downtime procedure and make sure clinicians have practised it. | Keep an independent, offline-capable copy of data needed for urgent care. | Cache the most recent values locally with an explicit staleness indicator.","","SEC-HAZ-008","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-052","T-191","HL7 v2 query / result (MLLP)","Data flow","Produces clinical data used for decisions","T","Tampering","Clinical data at HL7 v2 query / result (MLLP) can be altered or substituted","Measurements, images, results or the patient identity attached to them can be modified through HL7 v2 query / result (MLLP), or the data of one patient can be presented as another's, without the clinician being able to detect it.","A clinician diagnoses or treats on wrong data: missed condition, unnecessary treatment, or the right treatment given to the wrong patient.","Minor — temporary injury, no professional intervention","not set","CRITICAL","","","Bind clinical data to patient identity cryptographically and verify it at the point of display. | Sign results at the source; verify signatures before a result is used clinically. | Detect and flag stale data rather than displaying a last-known value as current.","","SEC-HAZ-005","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-053","T-192","HL7 v2 query / result (MLLP)","Data flow","Produces clinical data used for decisions","D","Denial of service","Clinical data from HL7 v2 query / result (MLLP) may be unavailable when a decision has to be made","An attack, an outage or a ransomware event makes HL7 v2 query / result (MLLP) unavailable at the moment a clinician needs the data it holds or carries.","Treatment is delayed, or a decision is made without information that was available yesterday.","Minor — temporary injury, no professional intervention","not set","CRITICAL","","","Define the downtime procedure and make sure clinicians have practised it. | Keep an independent, offline-capable copy of data needed for urgent care. | Cache the most recent values locally with an explicit staleness indicator.","","SEC-HAZ-005","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-054","T-205","Legitimate glucose publish","Data flow","Produces clinical data used for decisions","T","Tampering","Clinical data at Legitimate glucose publish can be altered or substituted","Measurements, images, results or the patient identity attached to them can be modified through Legitimate glucose publish, or the data of one patient can be presented as another's, without the clinician being able to detect it.","A clinician diagnoses or treats on wrong data: missed condition, unnecessary treatment, or the right treatment given to the wrong patient.","Critical — permanent impairment or life-threatening injury","not set","CRITICAL","","","Bind clinical data to patient identity cryptographically and verify it at the point of display. | Sign results at the source; verify signatures before a result is used clinically. | Detect and flag stale data rather than displaying a last-known value as current.","","SEC-HAZ-001","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-055","T-206","Legitimate glucose publish","Data flow","Produces clinical data used for decisions","D","Denial of service","Clinical data from Legitimate glucose publish may be unavailable when a decision has to be made","An attack, an outage or a ransomware event makes Legitimate glucose publish unavailable at the moment a clinician needs the data it holds or carries.","Treatment is delayed, or a decision is made without information that was available yesterday.","Critical — permanent impairment or life-threatening injury","not set","CRITICAL","","","Define the downtime procedure and make sure clinicians have practised it. | Keep an independent, offline-capable copy of data needed for urgent care. | Cache the most recent values locally with an explicit staleness indicator.","","SEC-HAZ-001","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
"SEC-HAZ-056","T-207","Legitimate glucose publish","Data flow","Generates, carries or displays alarms","T","Tampering","Alarm conditions or thresholds at Legitimate glucose publish can be tampered with","Alarm limits, priorities, escalation rules or the alarm messages themselves can be modified through Legitimate glucose publish. An alarm can be silenced, downgraded, re-routed or fabricated, and the clinical team sees the altered state as the truth.","A genuine deteriorating-patient alarm never reaches anyone, or false alarms are injected — driving alarm fatigue, desensitisation and unnecessary intervention.","Critical — permanent impairment or life-threatening injury","not set","CRITICAL","","","Protect alarm limits and escalation configuration with integrity checks; treat a change to them as a clinical event, not a setting. | Sign alarm messages so a receiver can prove the alarm came from the device that raised it. | Restrict who can change alarm limits, and record every change with the identity that made it. | Annunciate locally at the device as well as remotely, so tampering with one path does not silence both.","","SEC-HAZ-001","CGM lab — GlucoSense CGM-3000 (worked example)","CGM-3000 Risk Management File (ISO 14971)"
