"Hazard ref","Threat ref","Element","Element type","Safety function","STRIDE","STRIDE category","Security threat (cause)","Hazardous situation","Harm","Severity of harm","Software safety class","Security severity","CVSS v4.0 vector","CVSS v4.0 score","Candidate risk controls","Controls already in place","Safety file reference","Threat model","Safety file"
"SEC-HAZ-038","T-105","Auto-programming order","Data flow","Controls or actuates therapy / diagnosis","D","Denial of service","Loss of Auto-programming order removes control of therapy","Flooding, resource exhaustion or an unavailable dependency stops Auto-programming order responding. Therapy cannot be started, adjusted or — the case people forget — stopped, and the clinician may not be told that control has been lost.","Therapy is interrupted, continues when it should have been stopped, or cannot be titrated while the patient deteriorates.","Catastrophic — patient death","Class C — death or serious injury possible","CRITICAL","","","Define and implement the safe state the device falls back to when its controller is unreachable, and test it. | Keep therapy control functional and locally overridable when the network, server or cloud is unavailable. | Rate limit and prioritise control traffic ahead of telemetry, logging and updates. | Alarm on loss of control communication rather than failing silently.","","HAZ-004","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-039","T-109","Requested rate check","Data flow","Implements a safety stop, interlock or limit","T","Tampering","Safety limits or interlock configuration at Requested rate check can be modified","The hard limits, dose caps, drug library, interlock rules or fail-safe configuration held or carried by Requested rate check can be changed by an attacker. The protective function still appears present but no longer constrains anything meaningful.","The last barrier before harm is removed: a dose or energy that the interlock existed to prevent is delivered, and nothing intervenes.","Catastrophic — patient death","not set","CRITICAL","","","Hold safety limits in signed, integrity-checked configuration verified at load and periodically at run time. | Enforce an absolute hard limit in firmware or hardware that no configuration or network message can widen. | Treat a change to a safety limit as a controlled change: authenticated, authorised, logged, and visible to the clinician. | Alarm when the running limits differ from the approved set.","","RC-011","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-040","T-110","Requested rate check","Data flow","Implements a safety stop, interlock or limit","D","Denial of service","The safety stop in Requested rate check may not run when it is needed","Resource exhaustion, flooding or a hung dependency starves the watchdog, monitor or interlock logic in Requested rate check. The protective function is not removed — it simply does not get to execute in time, or cannot reach the actuator to stop it.","The device continues in an unsafe state because the mechanism that should have stopped it never ran.","Catastrophic — patient death","not set","CRITICAL","","","Run the safety monitor independently of the application: separate task, separate watchdog, ideally separate processor. | Give it a guaranteed execution budget that untrusted work cannot consume, and a hardware watchdog behind it. | Design the failure direction deliberately: on loss of the monitor, the device goes to the safe state rather than continuing. | Test the interlock under load and under attack conditions, not only on an idle bench.","","RC-011","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-041","T-114","Dose limits","Data flow","Implements a safety stop, interlock or limit","T","Tampering","Safety limits or interlock configuration at Dose limits can be modified","The hard limits, dose caps, drug library, interlock rules or fail-safe configuration held or carried by Dose limits can be changed by an attacker. The protective function still appears present but no longer constrains anything meaningful.","The last barrier before harm is removed: a dose or energy that the interlock existed to prevent is delivered, and nothing intervenes.","Catastrophic — patient death","not set","CRITICAL","","","Hold safety limits in signed, integrity-checked configuration verified at load and periodically at run time. | Enforce an absolute hard limit in firmware or hardware that no configuration or network message can widen. | Treat a change to a safety limit as a controlled change: authenticated, authorised, logged, and visible to the clinician. | Alarm when the running limits differ from the approved set.","","RC-012","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-042","T-115","Dose limits","Data flow","Implements a safety stop, interlock or limit","D","Denial of service","The safety stop in Dose limits may not run when it is needed","Resource exhaustion, flooding or a hung dependency starves the watchdog, monitor or interlock logic in Dose limits. The protective function is not removed — it simply does not get to execute in time, or cannot reach the actuator to stop it.","The device continues in an unsafe state because the mechanism that should have stopped it never ran.","Catastrophic — patient death","not set","CRITICAL","","","Run the safety monitor independently of the application: separate task, separate watchdog, ideally separate processor. | Give it a guaranteed execution budget that untrusted work cannot consume, and a hardware watchdog behind it. | Design the failure direction deliberately: on loss of the monitor, the device goes to the safe state rather than continuing. | Test the interlock under load and under attack conditions, not only on an idle bench.","","RC-012","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-043","T-119","Alarm conditions","Data flow","Generates, carries or displays alarms","T","Tampering","Alarm conditions or thresholds at Alarm conditions can be tampered with","Alarm limits, priorities, escalation rules or the alarm messages themselves can be modified through Alarm conditions. An alarm can be silenced, downgraded, re-routed or fabricated, and the clinical team sees the altered state as the truth.","A genuine deteriorating-patient alarm never reaches anyone, or false alarms are injected — driving alarm fatigue, desensitisation and unnecessary intervention.","Critical — permanent impairment or life-threatening injury","not set","CRITICAL","","","Protect alarm limits and escalation configuration with integrity checks; treat a change to them as a clinical event, not a setting. | Sign alarm messages so a receiver can prove the alarm came from the device that raised it. | Restrict who can change alarm limits, and record every change with the identity that made it. | Annunciate locally at the device as well as remotely, so tampering with one path does not silence both.","","HAZ-007","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-044","T-120","Alarm conditions","Data flow","Generates, carries or displays alarms","D","Denial of service","Alarm delivery through Alarm conditions can be blocked, delayed or flooded","An attacker floods, exhausts or simply cuts Alarm conditions, so alarms are queued, dropped or delayed past the point where they are clinically useful. The inverse is equally dangerous: a flood of injected alarms buries the real one.","Deterioration goes unnoticed because nobody was alerted in time, or the alert that mattered was lost among false ones.","Critical — permanent impairment or life-threatening injury","not set","CRITICAL","","","Set and verify a maximum alarm annunciation delay end to end; monitor it in service. | Give alarm traffic its own prioritised, rate-limited path that ordinary traffic cannot starve. | Fail loud: if the alarm path cannot be confirmed available, raise a local technical alarm. | Keep an independent local annunciation that does not depend on the network at all.","","HAZ-007","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-045","T-127","Remote alarm escalation","Data flow","Generates, carries or displays alarms","T","Tampering","Alarm conditions or thresholds at Remote alarm escalation can be tampered with","Alarm limits, priorities, escalation rules or the alarm messages themselves can be modified through Remote alarm escalation. An alarm can be silenced, downgraded, re-routed or fabricated, and the clinical team sees the altered state as the truth.","A genuine deteriorating-patient alarm never reaches anyone, or false alarms are injected — driving alarm fatigue, desensitisation and unnecessary intervention.","Critical — permanent impairment or life-threatening injury","not set","CRITICAL","","","Protect alarm limits and escalation configuration with integrity checks; treat a change to them as a clinical event, not a setting. | Sign alarm messages so a receiver can prove the alarm came from the device that raised it. | Restrict who can change alarm limits, and record every change with the identity that made it. | Annunciate locally at the device as well as remotely, so tampering with one path does not silence both.","","HAZ-007, RC-021","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-046","T-128","Remote alarm escalation","Data flow","Generates, carries or displays alarms","D","Denial of service","Alarm delivery through Remote alarm escalation can be blocked, delayed or flooded","An attacker floods, exhausts or simply cuts Remote alarm escalation, so alarms are queued, dropped or delayed past the point where they are clinically useful. The inverse is equally dangerous: a flood of injected alarms buries the real one.","Deterioration goes unnoticed because nobody was alerted in time, or the alert that mattered was lost among false ones.","Critical — permanent impairment or life-threatening injury","not set","CRITICAL","","","Set and verify a maximum alarm annunciation delay end to end; monitor it in service. | Give alarm traffic its own prioritised, rate-limited path that ordinary traffic cannot starve. | Fail loud: if the alarm path cannot be confirmed available, raise a local technical alarm. | Keep an independent local annunciation that does not depend on the network at all.","","HAZ-007, RC-021","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-047","T-134","Drug library update","Data flow","Implements a safety stop, interlock or limit","T","Tampering","Safety limits or interlock configuration at Drug library update can be modified","The hard limits, dose caps, drug library, interlock rules or fail-safe configuration held or carried by Drug library update can be changed by an attacker. The protective function still appears present but no longer constrains anything meaningful.","The last barrier before harm is removed: a dose or energy that the interlock existed to prevent is delivered, and nothing intervenes.","Catastrophic — patient death","not set","CRITICAL","","","Hold safety limits in signed, integrity-checked configuration verified at load and periodically at run time. | Enforce an absolute hard limit in firmware or hardware that no configuration or network message can widen. | Treat a change to a safety limit as a controlled change: authenticated, authorised, logged, and visible to the clinician. | Alarm when the running limits differ from the approved set.","","HAZ-009","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-048","T-135","Drug library update","Data flow","Implements a safety stop, interlock or limit","D","Denial of service","The safety stop in Drug library update may not run when it is needed","Resource exhaustion, flooding or a hung dependency starves the watchdog, monitor or interlock logic in Drug library update. The protective function is not removed — it simply does not get to execute in time, or cannot reach the actuator to stop it.","The device continues in an unsafe state because the mechanism that should have stopped it never ran.","Catastrophic — patient death","not set","CRITICAL","","","Run the safety monitor independently of the application: separate task, separate watchdog, ideally separate processor. | Give it a guaranteed execution budget that untrusted work cannot consume, and a hardware watchdog behind it. | Design the failure direction deliberately: on loss of the monitor, the device goes to the safe state rather than continuing. | Test the interlock under load and under attack conditions, not only on an idle bench.","","HAZ-009","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-049","T-139","Drug library & firmware distribution","Data flow","Implements a safety stop, interlock or limit","T","Tampering","Safety limits or interlock configuration at Drug library & firmware distribution can be modified","The hard limits, dose caps, drug library, interlock rules or fail-safe configuration held or carried by Drug library & firmware distribution can be changed by an attacker. The protective function still appears present but no longer constrains anything meaningful.","The last barrier before harm is removed: a dose or energy that the interlock existed to prevent is delivered, and nothing intervenes.","Catastrophic — patient death","Class C — death or serious injury possible","CRITICAL","","","Hold safety limits in signed, integrity-checked configuration verified at load and periodically at run time. | Enforce an absolute hard limit in firmware or hardware that no configuration or network message can widen. | Treat a change to a safety limit as a controlled change: authenticated, authorised, logged, and visible to the clinician. | Alarm when the running limits differ from the approved set.","","HAZ-011","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-050","T-140","Drug library & firmware distribution","Data flow","Implements a safety stop, interlock or limit","D","Denial of service","The safety stop in Drug library & firmware distribution may not run when it is needed","Resource exhaustion, flooding or a hung dependency starves the watchdog, monitor or interlock logic in Drug library & firmware distribution. The protective function is not removed — it simply does not get to execute in time, or cannot reach the actuator to stop it.","The device continues in an unsafe state because the mechanism that should have stopped it never ran.","Catastrophic — patient death","Class C — death or serious injury possible","CRITICAL","","","Run the safety monitor independently of the application: separate task, separate watchdog, ideally separate processor. | Give it a guaranteed execution budget that untrusted work cannot consume, and a hardware watchdog behind it. | Design the failure direction deliberately: on loss of the monitor, the device goes to the safe state rather than continuing. | Test the interlock under load and under attack conditions, not only on an idle bench.","","HAZ-011","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-051","T-141","Drug library & firmware distribution","Data flow","Controls or actuates therapy / diagnosis","T","Tampering","Therapy parameters handled by Drug library & firmware distribution can be altered without detection","Dose, rate, duration, energy or programme values passing through Drug library & firmware distribution can be modified — in transit, at rest, or by malformed input the code accepts — and neither the device nor the clinician can tell the value is not the one that was prescribed.","The patient receives an over-dose, under-dose or wrong therapy while the display and records show the intended value.","Catastrophic — patient death","Class C — death or serious injury possible","CRITICAL","","","Sign or MAC therapy parameters end to end, and verify at the point of actuation rather than at the gateway. | Range-check every parameter against clinically safe limits at the device, independently of whatever sent it. | Cross-check the value actually being delivered against the value that was prescribed, and alarm on divergence.","","HAZ-011","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-052","T-142","Drug library & firmware distribution","Data flow","Controls or actuates therapy / diagnosis","D","Denial of service","Loss of Drug library & firmware distribution removes control of therapy","Flooding, resource exhaustion or an unavailable dependency stops Drug library & firmware distribution responding. Therapy cannot be started, adjusted or — the case people forget — stopped, and the clinician may not be told that control has been lost.","Therapy is interrupted, continues when it should have been stopped, or cannot be titrated while the patient deteriorates.","Catastrophic — patient death","Class C — death or serious injury possible","CRITICAL","","","Define and implement the safe state the device falls back to when its controller is unreachable, and test it. | Keep therapy control functional and locally overridable when the network, server or cloud is unavailable. | Rate limit and prioritise control traffic ahead of telemetry, logging and updates. | Alarm on loss of control communication rather than failing silently.","","HAZ-011","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-053","T-147","Device telemetry","Data flow","Produces clinical data used for decisions","T","Tampering","Clinical data at Device telemetry can be altered or substituted","Measurements, images, results or the patient identity attached to them can be modified through Device telemetry, or the data of one patient can be presented as another's, without the clinician being able to detect it.","A clinician diagnoses or treats on wrong data: missed condition, unnecessary treatment, or the right treatment given to the wrong patient.","Minor — temporary injury, no professional intervention","not set","CRITICAL","","","Bind clinical data to patient identity cryptographically and verify it at the point of display. | Sign results at the source; verify signatures before a result is used clinically. | Detect and flag stale data rather than displaying a last-known value as current.","","HAZ-013","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-054","T-148","Device telemetry","Data flow","Produces clinical data used for decisions","D","Denial of service","Clinical data from Device telemetry may be unavailable when a decision has to be made","An attack, an outage or a ransomware event makes Device telemetry unavailable at the moment a clinician needs the data it holds or carries.","Treatment is delayed, or a decision is made without information that was available yesterday.","Minor — temporary injury, no professional intervention","not set","CRITICAL","","","Define the downtime procedure and make sure clinicians have practised it. | Keep an independent, offline-capable copy of data needed for urgent care. | Cache the most recent values locally with an explicit staleness indicator.","","HAZ-013","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-055","T-157","Bedside annunciation","Data flow","Generates, carries or displays alarms","T","Tampering","Alarm conditions or thresholds at Bedside annunciation can be tampered with","Alarm limits, priorities, escalation rules or the alarm messages themselves can be modified through Bedside annunciation. An alarm can be silenced, downgraded, re-routed or fabricated, and the clinical team sees the altered state as the truth.","A genuine deteriorating-patient alarm never reaches anyone, or false alarms are injected — driving alarm fatigue, desensitisation and unnecessary intervention.","Critical — permanent impairment or life-threatening injury","not set","CRITICAL","","","Protect alarm limits and escalation configuration with integrity checks; treat a change to them as a clinical event, not a setting. | Sign alarm messages so a receiver can prove the alarm came from the device that raised it. | Restrict who can change alarm limits, and record every change with the identity that made it. | Annunciate locally at the device as well as remotely, so tampering with one path does not silence both.","","RC-021","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
"SEC-HAZ-056","T-158","Bedside annunciation","Data flow","Generates, carries or displays alarms","D","Denial of service","Alarm delivery through Bedside annunciation can be blocked, delayed or flooded","An attacker floods, exhausts or simply cuts Bedside annunciation, so alarms are queued, dropped or delayed past the point where they are clinically useful. The inverse is equally dangerous: a flood of injected alarms buries the real one.","Deterioration goes unnoticed because nobody was alerted in time, or the alert that mattered was lost among false ones.","Critical — permanent impairment or life-threatening injury","not set","CRITICAL","","","Set and verify a maximum alarm annunciation delay end to end; monitor it in service. | Give alarm traffic its own prioritised, rate-limited path that ordinary traffic cannot starve. | Fail loud: if the alarm path cannot be confirmed available, raise a local technical alarm. | Keep an independent local annunciation that does not depend on the network at all.","","RC-021","Connected infusion pump (worked example)","Infusion Pump Risk Management File (ISO 14971)"
